Specialty,Physicians With at Least 1 Paid Claim No.,Total Paid Claims No.,Paid Claims per 1000 Physician-years,All Paid Claims Among Top 1% of Physicians With Highest No. of Paid Claims No. (%),Paid Claims per Physician Among Top 1% of Physicians With Highest No. of Paid Claims Mean No.
All specialties,175667,280368,14.1,"21308 (7.6)",1.69
Anesthesiology,7892,10246,11.7,"740 (7.2)",1.59
Cardiology,5378,7759,15.9,"610 (7.9)",1.20
Colon and rectal surgery,549,985,34.1,"75 (7.6)",1.17
Dermatology,1717,2712,11.6,"390 (14.4)",2.82
Emergency medicine,8007,11574,18.8,"506 (4.4)",1.31
Family Medicine,18349,24962,14.3,"2048 (8.2)",1.40
Gastroenterology,2881,4162,15.8,"248 (6.0)",1.16
General practice,4435,6478,21.9,"451 (7.0)",2.07
General surgery,12981,26423,30.0,"1767 (6.7)",1.55
Internal medicine,17174,23401,7.1,"2042 (8.7)",1.55
Neurology,2156,2986,9.5,"245 (8.2)",2.04
Neurosurgery,2797,6468,53.1,"479 (7.4)",2.14
Obstetrics and gynecology,20060,39897,42.5,"2661 (6.7)",1.74
Ophthalmology,4044,6470,15.5,"659 (10.2)",2.43
Orthopedics,10641,22231,40.9,"1517 (6.8)",1.45
Otolaryngology,3226,5434,24.4,"443 (8.2)",1.24
Pathology,2372,2920,6.9,"123 (4.2)",1.81
Pediatrics,5799,7516,4.9,"632 (8.4)",3.01
Plastic surgery,3156,7352,48.5,"768 (10.4)",3.51
Psychiatry,3115,3948,4.3,"335 (8.5)",2.46
Pulmonology,1746,2273,10.5,"162 (7.1)",1.37
Radiology,9079,13760,18.9,"1075 (7.8)",1.21
Thoracic surgery,2179,3925,46.7,"310 (7.9)",1.58
Urology,3631,6107,25.6,"663 (10.9)",1.57
Other,22303,30379,7.1,"2359 (7.8)",1.94
